Date,M ($M_W$),Lat (◦N),Lon (◦E),φ,δ,Λ,H (km),FT,RL (km),RW (km),P,N,Refa
18970612,8.1,26,91,112,40,90,35,R,110,35,N,24,1
19000208,5.7,10.8,76.8,–,–,–,35,S,–,–,S,10,–
19050405,7.8,32.3,76.3,155,7,90,17,R,100,55,A,56,1
19180708,7.6,24.5,91,44,76,0,14,S,139,19,N,5,2
19300702,7.1,25.5,90,12,75,0,60,S,68,14,N,8,2
19320814,6.9,26,95.5,176,58,147,120,R,34,25,D,5,3
19340115,8.1,27.55,87.09,280,30,40,17,R,150,85,A,55,1
19500815,8.6,28.5,96.5,334,58,177,45,S,250,80,D,7,4
19671210,6.3,17.54,73.84,206,66,165,10.7,S,–,–,S,95,5
19700729,6.6,25.994,95.351,176,58,147,79.4,R,23,20,D,5,3
19750119,6.8,32.385,78.496,360,43,−89,12,N,33,15,A,14,6
19750512,4.7,13.8,75.3,–,–,–,35,–,–,–,S,3,–
19800729,6.5,29.42,80.95,290,21,91,22.3,R,22,11,A,10,7
19860426,5.5,32.153,76.405,299,19,58,15,R,–,–,A,5,7
19880806,7.2,25.19,94.89,284,45,55,100,R,50,32,D,6,7
19880820,6.8,26.52,86.64,230,23,2,34.7,R,32,32,D,29,7
19911020,6.8,30.77,78.79,317,14,115,15,R,33,14,A,35,7
19930929,6.2,18.09,76.473,134,47,112,15,R,15,4,S,12,7
19970522,5.8,23.083,80.091,283,26,129,38,R,9,6,S,19,7
19990329,6.6,30.512,79.403,280,7,75,10,R,26,12,A,121,7
20000905,5.2,17.26,73.93,354,21,−94,15,N,–,–,S,17,7
20010107,4.7,9.31,76.62,309,56,143,25.4,S,2,3,S,7,7
20010126,7.7,23.63,70.24,298,39,136,19.8,R,45,35,S,17,7
20020303,7.3,36.57,70.42,282,22,85,228.5,R,57,35,D,8,7
20041226,9.1,3.308,95.96,329,8,110,30,R,1500,140,D,30,7
20050314,4.9,17.29,73.87,334,40,−118,5,N,–,–,S,13,7
20051008,7.6,34.493,73.629,334,40,123,12,R,97,30,A,45,7
20051120,4.4,17.31,74.03,–,–,–,33,–,–,–,S,8,–
20051212,6.5,36.45,71.06,279,40,106,210.2,R,20,18,D,7,7
20051214,5.1,30.424,79.245,293,23,86,34.2,R,–,–,A,15,7
20051226,4.5,17.33,74.05,–,–,–,33,–,–,–,S,10,–
20060214,5.3,27.22,88.64,287,27,126,19.2,R,–,–,A,32,7
20060417,4.4,17.082,73.81,–,–,–,10,–,–,–,S,9,–
20060805,4.5,29.864,80.169,–,–,–,10,–,–,–,A,14,–
20070520,4.9,27.23,88.56,204,58,−4,13.6,R,–,–,A,15,7
20080730,4.7,17.64,74.17,–,–,–,35,–,–,–,S,10,–
20080906,5.8,36.641,70.898,–,–,–,178,–,–,–,D,6,–
20090811,7.5,14.013,92.923,39,36,−92,33.1,N,81,56,D,4,7
