Peak ground acceleration (g),,,,,,,,
City,Latitude (°N),Longitude (°E),BIS,zone,GSHAP,Present,Other,Reference
Ahmedabad,23.03,72.61,0.08,III,0.05,0.11,0.1,Jaiswal and Sinha 2007†
Bangalore,12.98,77.58,0.05,II,0.05,0.11,0.10; 0.15,Jaiswal and Sinha 2007†; Anbazhagan et al. 2009
Bhuj,23.25,69.66,0.18,V,0.2,0.42,0.25; 0.20-0.70,Jaiswal and Sinha 2007†; Petersen et al. 2004‡
Chennai,13,80.18,0.08,III,0.05,0.12,0.089; 0.10,Menon et al. 2010; Jaiswal and Sinha 2007†
Dehradun,30.33,78.04,0.12,IV,0.3,0.47,0.45,Mahajan et al. 2010
Guwahati,26.18,91.73,0.18,V,0.3,0.66,0.5,Sharma and Malik 2006
Hyderabad,17.45,78.46,0.05,II,0.05,0.09,0.08,Jaiswal and Sinha 2007†
Imphal,24.78,93.94,0.18,V,0.45,0.68,0.5,Sharma and Malik 2006
Jabalpur,23.2,79.95,0.08,III,0.1,0.19,0.15,Jaiswal and Sinha 2007†
Kolkata,22.65,88.45,0.08,III,0.1,0.15,0.1,Jaiswal and Sinha 2007†
Koyna,17.4,73.75,0.12,IV,0.25,0.47,0.25,Jaiswal and Sinha 2007†
Mumbai,19.11,72.85,0.08,III,0.1,0.16,0.15,Jaiswal and Sinha 2007†
New Delhi,28.56,77.11,0.12,IV,0.15,0.24,,
Patna,25.6,85.1,0.12,IV,0.05,0.13,,
Port Blair,11.61,92.72,0.18,V,0.25,0.71,,
Shillong,25.48,92.11,0.18,V,0.3,0.72,0.45,Sharma and Malik 2006
Srinagar,34.08,74.8,0.18,V,0.25,0.33,,
Thiruvananthapuram,8.5,76.95,0.08,III,0.05,0.07,,
Kathmandu,27.7172,85.324,,,,,,
Chandigarh,30.75,76.78,,,,,,
Islamabad,33.716667,73.066667,,,,,,
