1,169.9433847374,355.880558768,81.1529410766
1.2,167.3361507408,350.4207175804,79.9079105199
1.5,163.568057981,342.5299075973,78.1085359213
1.8,159.9614878922,334.9773442515,76.3862931264
2.2,155.3865401556,325.3968892114,74.2016216567
2.7,150.0133676055,314.1448616467,71.6357744716
3.3,144.0232798743,301.6009443173,68.7753322282
3.9,138.4798069324,289.9922885809,66.1281616207
4.7,131.701039914,275.7967881323,62.8911019301
5.6,124.8035827304,261.3527371305,59.5973642111
6.8,116.6239585682,244.2236842883,55.6913542262
8.2,108.2980443874,226.7882836959,51.7154864749
10,99.1374289204,207.6049247432,47.3410244246
12,90.5586203109,189.6399347778,43.2443921805
15,80.0583830137,167.6512570642,38.2302214907
18,71.6470356722,150.0369498259,34.2135569043
22,62.7312272332,131.3662443199,29.9559973763
27,54.1506119305,113.3974709357,25.8585023833
33,46.3665869339,97.0968472335,22.1414025805
39,40.4135277682,84.6304718843,19.2986425611
47,34.3619841987,71.9578591182,16.4088533558
56,29.2612775108,61.2764057095,13.973116596
68,24.2552616312,50.7932455018,11.5825974691
82,20.0438750992,41.9741285087,9.5715371174
100,16.195404876,33.9149990783,7.733779927
120,13.1720950197,27.5838482504,6.2900609673
150,10.0713378652,21.0905140705,4.8093586555
180,7.9732577765,16.6968984235,3.8074639947
220,6.0607736601,12.6919416138,2.8941968437
270,4.4831596174,9.3882403963,2.1408399558
330,3.253583547,6.813369832,1.553681388
390,2.4361298518,5.1015298668,1.1633233187
470,1.7136250283,3.5885235163,0.8183061151
560,1.1921901979,2.4965803432,0.5693057193
