SN.,DDMMYYYY,hh:mm,Latitude (°N),Longitude (°E),H (km),N
1,16112002,22:39:00,25.79,90.78,10.2,4
2,17112002,17:35:00,25.69,91.52,9,4
3,7012003,02:04:00,25.74,90.8,12.9,3
4,1062003,14:31:00,25.77,90.99,11.6,3
5,10052003,21:24:00,25.63,91.21,12.3,3
6,9062003,17:58:00,25.98,90.73,11.1,4
7,7032005,16:23:00,25.57,91.16,18.6,2
8,14032005,18:13:00,25.69,91.11,8.2,2
9,17032003,13:50:00,26.26,90.65,6.6,4
10,30032003,15:33:00,25.78,91.18,6.1,3
11,24042003,20:16:00,25.57,90.8,7.8,4
12,23042003,23:06:00,26.15,90.95,15,4
13,16052003,12:18:00,25.64,90.76,11.9,3
14,7062003,23:14:00,25.77,90.93,13,3
15,21062003,21:05:00,26.03,90.6,7.5,4
16,14072003,22:51:00,25.6,91.54,13.6,3
17,17072003,08:29:00,25.87,90.81,10.9,5
18,21072003,23:40:00,25.46,90.95,12.2,4
19,25072003,12:02:00,25.53,90.66,20.8,3
20,20082003,19:28:00,25.8,91.3,16,3
21,12092003,23:00:00,25.77,90.65,10.5,2
22,29092003,21:15:00,25.59,90.35,9.7,3
23,29102003,22:01:00,25.68,90.74,9.8,3
24,11112003,15:14:00,26.22,90.71,18.5,4
25,13112003,08:44:00,25.59,90.81,12.3,3
26,16112003,12:07:00,25.96,90.57,10.3,2
27,1122003,18:07:00,25.81,91.32,14.8,3
28,29122003,02:38:00,25.74,90.85,10.2,4
29,17072005,16:42:00,25.58,90.96,11.1,2
30,21012005,23:54:00,26.2,90.96,11.5,4
