T,c1,c2,c3,c4,sigma
0.000,1.7816,0.9205,-0.0673,0.0035,0.3136
0.010,1.8375,0.9196,-0.0666,0.0035,0.3172
0.015,1.9657,0.9136,-0.0643,0.0036,0.3383
0.020,2.2153,0.9054,-0.0607,0.0037,0.3920
0.030,2.7418,0.8988,-0.0570,0.0037,0.3171
0.040,2.9025,0.9034,-0.0578,0.0036,0.3344
0.050,2.8652,0.9113,-0.0604,0.0035,0.300
0.060,2.7795,0.9202,-0.0637,0.0034,0.2917
0.075,2.6483,0.9343,-0.0693,0.0032,0.2865
0.090,2.5333,0.9492,-0.0757,0.0031,0.2825
0.100,2.4651,0.9595,-0.0803,0.0030,0.2801
0.150,.1941,1.0139,-0.1058,0.0027,0.2703
0.200,1.9917,1.0708,-0.1331,0.0025,0.2637
0.300,1.6832,1.1830,-0.1846,0.0021,0.2563
0.400,1.4379,1.2859,-0.2269,0.0019,0.2510
0.500,1.2262,1.3770,-0.2592,0.0017,0.2450
0.600,1.0361,1.4571,-0.2830,0.0015,0.2386
0.700,0.8621,1.5276,-0.3001,0.0014,0.2323
0.750,0.7800,1.5598,-0.3067,0.0013,0.2290
0.800,0.7008,1.5900,-0.3121,0.0013,0.2268
0.900,0.5501,1.6456,-0.3203,0.0012,0.2225
1.000,0.4087,1.6955,-0.3255,0.0012,0.2194
1.200,0.1489,1.7814,-0.3298,0.0011,0.2163
1.500,-0.1943,1.8847,-0.3268,0.0010,0.2175
2.000,-0.6755,2.0119,-0.3105,0.0001,0.2265
2.500,-1.0762,2.1041,-0.2895,0.0010,0.2365
3.000,-1.4191,2.1741,-0.2680,0.0010,0.2447
4.000,-1.9847,2.2730,-0.2287,0.0011,0.2544
