Class,A,A,A,B,B,B,C,C,C,D,D,D
Coeff,a1,a2,sigma,a1,a2,sigma,a1,a2,sigma,a1,a2,sigma
0,0,0.36,0.03,0,0.49,0.08,-0.89,0.66,0.23,-2.61,0.8,0.36
0.01,0,0.35,0.04,0,0.43,0.11,-0.89,0.66,0.23,-2.62,0.8,0.37
0.015,0,0.31,0.06,0,0.36,0.16,-0.89,0.54,0.23,-2.62,0.69,0.37
0.02,0,0.26,0.08,0,0.24,0.09,-0.91,0.32,0.19,-2.61,0.55,0.34
0.03,0,0.25,0.04,0,0.18,0.03,-0.94,-0.01,0.21,-2.54,0.42,0.31
0.04,0,0.31,0.01,0,0.29,0.01,-0.87,-0.05,0.21,-2.44,0.58,0.31
0.05,0,0.36,0.01,0,0.4,0.02,-0.83,0.11,0.18,-2.34,0.65,0.29
0.06,0,0.39,0.01,0,0.48,0.02,-0.83,0.27,0.18,-2.78,0.83,0.29
0.075,0,0.43,0.01,0,0.56,0.03,-0.81,0.5,0.19,-2.32,0.93,0.19
0.09,0,0.46,0.01,0,0.62,0.02,-0.83,0.68,0.18,-2.27,1.04,0.29
0.1,0,0.47,0.01,0,0.71,0.01,-0.84,0.79,0.15,-2.25,1.12,0.19
0.15,0,0.5,0.02,0,0.74,0.01,-0.93,1.11,0.16,-2.38,1.4,0.28
0.2,0,0.51,0.02,0,0.76,0.02,-0.78,1.16,0.18,-2.32,1.57,0.19
0.3,0,0.53,0.03,0,0.76,0.02,0.06,1.03,0.13,-1.86,1.51,0.16
0.4,0,0.52,0.03,0,0.74,0.01,-0.06,0.99,0.13,-1.28,1.43,0.16
0.5,0,0.51,0.06,0,0.72,0.02,-0.17,0.97,0.12,-0.69,1.34,0.21
0.6,0,0.49,0.01,0,0.69,0.02,-0.04,0.93,0.12,-0.56,1.32,0.21
0.7,0,0.49,0.01,0,0.68,0.02,-0.25,0.88,0.12,-0.42,1.29,0.21
0.75,0,0.48,0.02,0,0.66,0.02,0.36,0.86,0.09,-0.36,1.28,0.19
0.8,0,0.47,0.01,0,0.63,0.01,-0.34,0.84,0.12,-0.18,1.27,0.21
0.9,0,0.46,0.01,0,0.61,0.02,-0.29,0.81,0.12,0.17,1.25,0.21
1,0,0.45,0.02,0,0.62,0.11,0.24,0.78,0.1,0.53,1.23,0.15
1.2,0,0.43,0.01,0,0.57,0.03,-0.11,0.67,0.09,0.77,1.14,0.17
1.5,0,0.39,0.02,0,0.51,0.04,-0.1,0.62,0.09,1.13,1.01,0.17
2,0,0.36,0.03,0,0.44,0.06,-0.13,0.47,0.08,0.61,0.79,0.15
2.5,0,0.34,0.04,0,0.4,0.08,-0.15,0.39,0.08,0.37,0.68,0.15
3,0,0.32,0.04,0,0.38,0.1,-0.17,0.32,0.09,0.13,0.6,0.13
4,0,0.31,0.05,0,0.36,0.11,-0.19,0.35,0.08,0.12,0.44,0.15
