# mean, investigation_time=1.0
lon,lat,0.002105~PGA,0.002105~SA(0.2),0.002105~SA(1.0),0.00040397~PGA,0.00040397~SA(0.2),0.00040397~SA(1.0)
69.66000,23.25000,3.388028E-01,5.118688E-01,1.239953E-01,7.411493E-01,1.118454E+00,3.115009E-01
72.61000,23.03000,6.306235E-02,1.210307E-01,3.698003E-02,1.407255E-01,2.529188E-01,8.381104E-02
72.85000,19.11000,1.128567E-01,1.745457E-01,3.644295E-02,2.629641E-01,3.820689E-01,8.218468E-02
73.75000,17.40000,4.604681E-01,6.531889E-01,1.311179E-01,8.753721E-01,1.253155E+00,2.971286E-01
74.80000,34.08000,5.238305E-01,1.178132E+00,3.695766E-01,1.672727E+00,3.771356E+00,1.174888E+00
76.95000,8.50000,3.779466E-02,6.688220E-02,1.248547E-02,9.308728E-02,1.496733E-01,2.968463E-02
77.11000,28.56000,2.337096E-01,3.675368E-01,9.692556E-02,5.411145E-01,8.376232E-01,2.511742E-01
77.58000,12.98000,9.804568E-02,1.466387E-01,2.193489E-02,2.399873E-01,3.405549E-01,5.414831E-02
78.04000,30.33000,5.695018E-01,1.305164E+00,3.524791E-01,1.705147E+00,3.859229E+00,1.072471E+00
78.46000,17.45000,6.242001E-02,1.071929E-01,2.300091E-02,1.504345E-01,2.399448E-01,5.340688E-02
79.95000,23.20000,1.010945E-01,1.714641E-01,3.891440E-02,2.445683E-01,3.910798E-01,9.554114E-02
80.18000,13.00000,8.654054E-02,1.278807E-01,1.819933E-02,2.175965E-01,3.006969E-01,4.528472E-02
85.10000,25.60000,8.935971E-02,1.742394E-01,6.636175E-02,2.259893E-01,4.403065E-01,2.025874E-01
88.45000,22.65000,1.028669E-01,1.796038E-01,4.838235E-02,2.425450E-01,3.926735E-01,1.120101E-01
91.73000,26.18000,5.520830E-01,1.001092E+00,3.095214E-01,1.041558E+00,1.849321E+00,7.514210E-01
92.11000,25.48000,5.255143E-01,9.485933E-01,3.006641E-01,1.019237E+00,1.812009E+00,7.369443E-01
92.72000,11.61000,6.739698E-01,1.538495E+00,3.411542E-01,1.670530E+00,3.751389E+00,8.606508E-01
93.94000,24.78000,7.005742E-01,1.483276E+00,3.365240E-01,1.752550E+00,3.586060E+00,8.525921E-01
