layerid,zoneid,faulting style,tectonic region type,note
4,169,normal,subduction intraslab,
4,170,reverse,subduction interface  ,
4,172,normal,subduction intraslab,
3,936,reverse,subduction intraslab ,
3,153,reverse,subduction interface ,
3,935,reverse,subduction interface ,
3,154,strike-slip,,
3,162,strike-slip,subduction intraslab,
3,163,reverse,subduction interface ,Note that active subduction here is being debated
3,164,strike-slip,subduction intraslab,
3,166,reverse,subduction interface ,
3,167,reverse,subduction interface ,
2,925,normal,,
2,903,normal,,
2,87,strike-slip,,
2,88,strike-slip,,
2,89,reverse,subduction interface,
2,90,normal,subduction intraslab,
2,91,reverse,,
2,92,strike-slip,,
2,93,strike-slip,,
2,94,strike-slip,,
2,95,strike-slip,,
2,97,strike-slip,,
2,98,normal,,
2,99,strike-slip,,
2,100,strike-slip,,
2,101,normal,,
2,102,strike-slip,,
2,103,normal,,
2,110,reverse,subduction interface,
2,116,normal,,
2,908,strike-slip,,
2,926,normal,,
2,927,normal,,
2,928,strike-slip,,
2,932,strike-slip,stable shallow crust,
2,118,strike-slip,,
2,119,reverse,intraplate margin lower,
2,913,strike-slip,,
2,915,normal,,
2,929,strike-slip,,
2,930,strike-slip,,
2,128,strike-slip,,
2,129,normal,subduction intraslab,
2,130,reverse,subduction interface,
2,131,normal,subduction intraslab,
2,132,reverse,subduction interface,
2,917,strike-slip,,
2,931,strike-slip,,
2,136,strike-slip,,
2,137,strike-slip,,
2,138,strike-slip,,
2,933,reverse,stable shallow crust,
1,1,strike-slip,active shallow crust,
1,2,reverse,active shallow crust,
1,3,reverse,active shallow crust,
1,4,strike-slip,active shallow crust,
1,5,reverse,active shallow crust,
1,6,normal,active shallow crust,
1,7,normal,active shallow crust,
1,8,reverse,active shallow crust,
1,9,reverse,active shallow crust,
1,12,reverse,active shallow crust,
1,13,reverse,active shallow crust,
1,14,reverse,subduction interface,
1,15,strike-slip,active shallow crust,
1,16,reverse,active shallow crust,
1,17,reverse,active shallow crust,
1,901,strike-slip,active shallow crust,
1,902,normal,active shallow crust,
1,21,reverse,subduction interface,
1,22,reverse,subduction interface,
1,904,strike-slip,active shallow crust,
1,905,normal,active shallow crust,
1,906,strike-slip,active shallow crust,
1,907,normal,active shallow crust,
1,908,strike-slip,active shallow crust,
1,909,normal,active shallow crust,
1,910,reverse,subduction interface,There is an ongoing debate as to whether there is active subduction at the Indo-Myanmar Boundary or not
1,916,reverse,subduction interface,
1,918,reverse,subduction interface,
1,912,reverse,intraplate margin upper,
1,911,reverse,active shallow crust,
1,914,strike-slip,active shallow crust,
1,57,normal,active shallow crust,
1,58,strike-slip,active shallow crust,
1,913,strike-slip,active shallow crust,
1,915,normal,active shallow crust,
1,917,strike-slip,stable shallow crust,
1,903,normal,active shallow crust,
1,63,reverse,stable shallow crust,
1,66,reverse,stable shallow crust,
1,921,reverse,stable shallow crust,
1,919,reverse,stable shallow crust,
1,922,strike-slip,stable shallow crust,
1,74,reverse,stable shallow crust,
1,75,strike-slip,stable shallow crust,
1,924,strike-slip,stable shallow crust,
1,81,strike-slip,stable shallow crust,
1,923,strike-slip,stable shallow crust,
1,82,reverse,stable shallow crust,
1,86,strike-slip,no seismicity,
1,71,strike-slip,no seismicity,
